,SBER.ME,VTBR.ME,TCSG.ME
2022-05-25,-0.0023879077711521013,-0.001315739586708251,0.006770791715981643
2022-05-26,-0.0012571088372453723,-0.001443488363642623,-0.00012308865595257127
2022-05-27,-0.004121935777977157,-0.004361199388540623,-0.004391745819390011
2022-05-30,-0.0011667297908388307,-0.002065866186964352,0.00042501534184636973
2022-05-31,-0.0024474860209423403,-0.002949928675520845,-0.002209693735908673
2022-06-01,-0.0024111412291514885,-0.003057657117535883,-0.0014270060571525025
2022-06-02,-0.002171289909756868,-0.002664571747796278,-0.0008848739948373341
2022-06-03,-0.002079508787531493,-0.0027296013770888947,-0.0013216695987417575
2022-06-06,-0.0022605421903801244,-0.002799333407182931,-0.001205830182099255
2022-06-07,-0.002059793049998299,-0.0026481917025284506,-0.0010681815849805207
2022-06-08,-0.0022130096863227666,-0.0027506918163044927,-0.001321692305451589
2022-06-09,-0.0021136522993591327,-0.0026861192863103845,-0.0011358917833961789
2022-06-10,-0.002147594398276988,-0.0026928510737397023,-0.0011899643075787125
2022-06-13,-0.002146420115225744,-0.0027066387467040483,-0.001200770822390312
2022-06-14,-0.002158218573250797,-0.002705578998596267,-0.0011860628780189764
2022-06-15,-0.002141368162733248,-0.0026998110566968845,-0.001186983077265877
2022-06-16,-0.0021587402885107298,-0.002710996767778716,-0.0011999777377169596
2022-06-17,-0.0021472501082537778,-0.0027043409484284204,-0.00118480836762097
2022-06-20,-0.002154901691476319,-0.0027087513295652502,-0.0011966188801377827
2022-06-21,-0.0021506870749289273,-0.002707274299051587,-0.001191282328276747
