,NLMK.ME,GMKN.ME,CHMF.ME
2022-05-25,161.79097182447478,21311.759984522927,1151.6249084657024
2022-05-26,161.94706295128088,21322.631515235676,1152.5107487425503
2022-05-27,162.1070339297662,21333.625908447106,1153.5093535453732
2022-05-30,162.2668960808801,21344.552901173498,1154.4920792508094
2022-05-31,162.42782613708118,21355.519355495613,1155.4796627101548
2022-06-01,162.58868320395754,21366.48561716773,1156.4673145418392
2022-06-02,162.74973136303439,21377.459530660988,1157.4564644363581
2022-06-03,162.9109404040239,21388.438443929943,1158.446272219476
2022-06-06,163.07231267333958,21399.423173957657,1159.436959828849
2022-06-07,163.23384280386009,21410.413505978882,1160.4284913980853
2022-06-08,163.39553337032723,21421.409496381304,1161.4208738760922
2022-06-09,163.5573840980457,21432.411129418604,1162.4141035499406
2022-06-10,163.71939514885653,21443.418413975603,1163.4081829784525
2022-06-13,163.88156666780594,21454.431351382857,1164.4031124980186
2022-06-14,164.0438988295291,21465.44994491287,1165.398892874936
2022-06-15,164.2063917881982,21476.47419735473,1166.3955248201335
2022-06-16,164.36904570347846,21487.504111655628,1167.3930090735785
2022-06-17,164.5318607348468,21498.539690711343,1168.3913463603517
2022-06-20,164.69483704195733,21509.580937433988,1169.3905374104654
2022-06-21,164.85797478452028,21520.627854733655,1170.390582954002
