,NLMK.ME,GMKN.ME,CHMF.ME
2022-05-25,161.79097182447478,21311.759984522927,1151.6249084657024
2022-05-26,161.94706295128088,21322.631515235676,1152.5107487425503
2022-05-27,162.1070339297662,21333.625908447106,1153.5093535453732
2022-05-30,162.2668960808801,21344.552901173498,1154.4920792508094
2022-05-31,162.42782613708118,21355.519355495613,1155.4796627101548
2022-06-01,162.58868320395754,21366.48561716773,1156.4673145418392
2022-06-02,162.74973136303439,21377.459530660988,1157.4564644363581
2022-06-03,162.9109404040239,21388.438443929943,1158.446272219476
2022-06-06,163.07231267333958,21399.423173957657,1159.436959828849
2022-06-07,163.23384280386009,21410.413505978882,1160.4284913980853
2022-06-08,163.39553337032723,21421.409496381304,1161.4208738760922
2022-06-09,163.5573840980457,21432.411129418604,1162.4141035499406
2022-06-10,163.71939514885653,21443.418413975603,1163.4081829784525
2022-06-13,163.88156666780594,21454.431351382857,1164.4031124980186
2022-06-14,164.0438988295291,21465.44994491287,1165.398892874936
2022-06-15,164.2063917881982,21476.47419735473,1166.3955248201335
2022-06-16,164.36904570347846,21487.504111655628,1167.3930090735785
2022-06-17,164.5318607348468,21498.539690711343,1168.3913463603517
2022-06-20,164.69483704195733,21509.580937433988,1169.3905374104654
2022-06-21,164.85797478452028,21520.627854733655,1170.390582954002
2022-06-22,165.02127412245267,21531.680445522907,1171.3914837217635
2022-06-23,165.18473521582234,21542.738712715447,1172.393240445096
2022-06-24,165.3483582248554,21553.802659226596,1173.3958538560066
2022-06-27,165.51214330993642,21564.87228797314,1174.3993246871216
2022-06-28,165.67609063160924,21575.947601873366,1175.403653671694
2022-06-29,165.8402003505766,21587.028603847062,1176.408841543604
2022-06-30,166.00447262770038,21598.11529681552,1177.4148890373594
2022-07-01,166.16890762400186,21609.207683701523,1178.4217968880962
2022-07-04,166.3335055006618,21620.305767429367,1179.4295658315787
2022-07-05,166.49826641902064,21631.40955092484,1180.438196604201
2022-07-06,166.6631905405786,21642.519037115235,1181.4476899429867
2022-07-07,166.8282780269959,21653.634228929346,1182.4580465855895
2022-07-08,166.99352904009285,21664.75512929748,1183.469267270294
2022-07-11,167.1589437418501,21675.88174115144,1184.4813527360166
2022-07-12,167.32452229440872,21687.014067424538,1185.494303722305
2022-07-13,167.4902648600704,21698.152111051593,1186.5081209693396
2022-07-14,167.6561716012976,21709.29587496893,1187.522805217934
2022-07-15,167.82224268071369,21720.445362114388,1188.5383572095352
2022-07-18,167.98847826110313,21731.600575427303,1189.554777686224
2022-07-19,168.15487850541166,21742.76151784853,1190.5720673907163
2022-07-20,168.32144357674636,21753.92819232043,1191.5902270663626
2022-07-21,168.48817363837594,21765.10060178688,1192.6092574571496
2022-07-22,168.6550688537308,21776.27874919326,1193.6291593077
2022-07-25,168.82212938640322,21787.462637486475,1194.6499333632735
2022-07-26,168.98935540014756,21798.652269614933,1195.6715803697666
2022-07-27,169.15674705888034,21809.84764852856,1196.6941010737144
2022-07-28,169.3243045266805,21821.0487771788,1197.7174962222898
2022-07-29,169.49202796778945,21832.255658518607,1198.7417665633052
2022-08-01,169.65991754661135,21843.468295502455,1199.7669128452121
2022-08-02,169.82797342771315,21854.686691086335,1200.7929358171023
2022-08-03,169.99619577582484,21865.910848227755,1201.819836228708
2022-08-04,170.1645847558396,21877.140769885744,1202.847614830403
2022-08-05,170.3331405328139,21888.37645902085,1203.8762723732025
2022-08-08,170.50186327196775,21899.617918595137,1204.9058096087638
