,GAZP.ME,LKOH.ME,ROSN.ME
2022-05-25,266.85837874986004,4418.72013059455,399.76502686610223
2022-05-26,267.0361065452996,4421.693611643072,399.9501081739725
2022-05-27,267.1938794070411,4424.360056941291,400.1139485259735
2022-05-30,267.35681317539587,4427.14383001618,400.28111252342035
2022-05-31,267.5211599960136,4429.940838587403,400.450411776523
2022-06-01,267.68460653634526,4432.721377866265,400.6188786869051
2022-06-02,267.84823728133705,4435.506843627338,400.7873890013091
2022-06-03,268.012083295755,4438.29574206515,400.9561045725744
2022-06-06,268.1759896511833,4441.085552860495,401.1248625988272
2022-06-07,268.3399909712534,4443.877106273361,401.2936812931776
2022-06-08,268.5040992991596,4446.6705306594995,401.4625776086609
2022-06-09,268.6683070161332,4449.46568336491,401.6315447798326
2022-06-10,268.83261450568557,4452.262584528603,401.8005822541534
2022-06-13,268.9970227753388,4455.061249684861,401.96969111107245
2022-06-14,269.16153160411284,4457.861673734951,402.1388711916806
2022-06-15,269.32614099767,4460.663857410546,402.30812243221163
2022-06-16,269.49085106942636,4463.467802743254,402.4774449113777
2022-06-17,269.65566187533267,4466.273510656892,402.64683865937565
2022-06-20,269.8205734714464,4469.080982181505,402.8163036995954
2022-06-21,269.98558592155814,4471.8902184699145,402.98584006367395
2022-06-22,270.15069928754764,4474.701220630727,403.1554477821025
2022-06-23,270.3159136307921,4477.513989768207,403.32512688457433
2022-06-24,270.48122901310416,4480.328526994608,403.4948774011551
2022-06-27,270.6466454963063,4483.144833421723,403.66469936194136
2022-06-28,270.81216314221257,4485.962910161356,403.8345927969893
2022-06-29,270.97778201269017,4488.782758326341,404.0045577363788
2022-06-30,271.1435021696466,4491.604379030217,404.1745942102067
2022-07-01,271.3093236750244,4494.427773387181,404.34470224857984
2022-07-04,271.4752465908045,4497.252942512137,404.514881881618
2022-07-05,271.6412709790058,4500.0798875206965,404.6851331394539
2022-07-06,271.80739690168525,4502.908609529168,404.8554560522328
2022-07-07,271.9736244209376,4505.739109654562,405.0258506501126
2022-07-08,272.1399535988956,4508.571389014591,405.196316963264
2022-07-11,272.30638449773,4511.405448727672,405.3668550218703
2022-07-12,272.4729171796496,4514.241289912923,405.53746485612766
2022-07-13,272.6395517069012,4517.078913690167,405.70814649624475
2022-07-14,272.8062881417698,4519.918321179929,405.8788999724431
2022-07-15,272.9731265465784,4522.759513503441,406.0497253149569
2022-07-18,273.140066983688,4525.602491782637,406.22062255403307
2022-07-19,273.30710951549787,4528.447257140158,406.3915917199313
2022-07-20,273.47425420444546,4531.293810699351,406.5626328429239
2022-07-21,273.6415011130063,4534.142153584266,406.733745953296
2022-07-22,273.80885030369427,4536.992286919665,406.9049310813456
2022-07-25,273.97630183906136,4539.844211831012,407.0761882573832
2022-07-26,274.1438557816978,4542.697929444481,407.2475175117322
2022-07-27,274.31151219423225,4545.5534408869535,407.41891887472883
2022-07-28,274.4792711393315,4548.410747286019,407.5903923767219
2022-07-29,274.64713267970075,4551.269849769976,407.7619380480732
2022-08-01,274.8150968780836,4554.130749467831,407.93355591915713
2022-08-02,274.98316379726185,4556.993447509303,408.10524602036094
2022-08-03,275.1513335000559,4559.85794502482,408.2770083820847
2022-08-04,275.3196060493244,4562.724243145518,408.44884303474123
2022-08-05,275.48798150796455,4565.592343003247,408.62075000875615
2022-08-08,275.65645993891195,4568.462245730569,408.7927293345679
2022-08-09,275.8250414051408,4571.3339524607545,408.9647810426278
2022-08-10,275.9937259696636,4574.207464327789,409.1369051633999
2022-08-11,276.16251369553163,4577.082782466371,409.309101727361
2022-08-12,276.3314046458346,4579.959908011911,409.4813707650009
2022-08-15,276.50039888370077,4582.838842100533,409.6537123068221
2022-08-16,276.66949647229706,4585.719585869077,409.82612638334007
2022-08-17,276.8386974748291,4588.602140455096,409.99861302508293
