,GAZP.ME,LKOH.ME,ROSN.ME
2022-05-25,266.85837874986004,4418.72013059455,399.76502686610223
2022-05-26,267.0361065452996,4421.693611643072,399.9501081739725
2022-05-27,267.1938794070411,4424.360056941291,400.1139485259735
2022-05-30,267.35681317539587,4427.14383001618,400.28111252342035
2022-05-31,267.5211599960136,4429.940838587403,400.450411776523
2022-06-01,267.68460653634526,4432.721377866265,400.6188786869051
2022-06-02,267.84823728133705,4435.506843627338,400.7873890013091
2022-06-03,268.012083295755,4438.29574206515,400.9561045725744
2022-06-06,268.1759896511833,4441.085552860495,401.1248625988272
2022-06-07,268.3399909712534,4443.877106273361,401.2936812931776
2022-06-08,268.5040992991596,4446.6705306594995,401.4625776086609
2022-06-09,268.6683070161332,4449.46568336491,401.6315447798326
2022-06-10,268.83261450568557,4452.262584528603,401.8005822541534
2022-06-13,268.9970227753388,4455.061249684861,401.96969111107245
2022-06-14,269.16153160411284,4457.861673734951,402.1388711916806
2022-06-15,269.32614099767,4460.663857410546,402.30812243221163
2022-06-16,269.49085106942636,4463.467802743254,402.4774449113777
2022-06-17,269.65566187533267,4466.273510656892,402.64683865937565
2022-06-20,269.8205734714464,4469.080982181505,402.8163036995954
2022-06-21,269.98558592155814,4471.8902184699145,402.98584006367395
