,AAPL,MSFT,NVDA
2025-11-21,267.1692345772247,480.37391030620137,181.63129332654333
2025-11-24,265.6723892430971,479.4181289613275,180.4369266701788
2025-11-25,265.9617711337532,480.77927761005407,181.40871274999864
2025-11-26,266.073030623928,480.7694793350544,181.73613362661544
2025-11-27,266.02301606079425,482.4331224842593,182.21050077831026
2025-11-28,266.6850185033509,484.9361064426885,183.1225338573932
2025-12-01,266.4891892299004,484.97539591747307,183.0983037195229
2025-12-02,267.2180053733726,486.4609073728835,184.03137798079035
2025-12-03,267.3441867916894,486.3869240371967,184.26971001375566
2025-12-04,267.81940891195626,487.12283994092644,184.86478869813635
2025-12-05,268.00240411827406,487.34015595932703,185.159364749885
2025-12-08,268.27188897506943,487.65709417996266,185.5633148675373
2025-12-09,268.5992406401717,488.06032672630283,186.0138610893448
2025-12-10,268.71443435947504,488.22707482599156,186.28522434577198
2025-12-11,269.0616579730923,488.8474332177233,186.78710428019474
2025-12-12,269.2084999948325,489.1438634903175,187.09051753393084
2025-12-15,269.4947208260629,489.6966418585934,187.54430965979137
2025-12-16,269.7122470159458,490.1053343798848,187.9211614623467
2025-12-17,269.96271679503616,490.59254455123227,188.33624814271562
2025-12-18,270.2203931064764,491.0738335982573,188.75365758391726
