,AAPL,MSFT,NVDA
2022-05-25,266.40203778829436,478.3055365709651,181.1216791242398
2022-05-26,266.1857856541755,478.15486464323243,180.9071212389807
2022-05-27,265.97001518644356,477.9564790151113,180.75891787565575
2022-05-30,265.7559973341592,477.770748618831,180.60600269325485
2022-05-31,265.54352506809226,477.58515503709293,180.45485356687735
2022-06-01,265.33286999193854,477.4012993204751,180.30494289519027
2022-06-02,265.123986807709,477.21897573616707,180.15629817333243
2022-06-03,264.9168650827541,477.0381910887561,180.00890659105082
2022-06-06,264.71148953666017,476.8589304593198,179.86275764548117
2022-06-07,264.5078454952086,476.6811811719894,179.7178408690549
2022-06-08,264.3059183561736,476.50493047032177,179.57414587135435
2022-06-09,264.1056936448966,476.33016572094596,179.43166235199766
2022-06-10,263.90715700835017,476.1568743958804,179.290380097093
2022-06-13,263.7102942145453,475.98504407283247,179.15028897890272
2022-06-14,263.5150911514792,475.814662434239,179.01137895507065
2022-06-15,263.3215338261264,475.6457172663847,178.8736400679071
2022-06-16,263.129608363435,475.4781964585268,178.7370624436747
2022-06-17,262.9393010053323,475.31208800202705,178.6016362918805
2022-06-20,262.75059810973863,475.14737998949096,178.4673519045744
2022-06-21,262.56348614958927,474.984060613914,178.33419965565287
2022-06-22,262.37795171186497,474.82211816783524,178.20217000016922
2022-06-23,262.19398149663016,474.66154104249836,178.07125347364922
2022-06-24,262.01156231607973,474.50231772701926,177.94144069141274
2022-06-27,261.8306810935938,474.344436807561,177.8127223479009
2022-06-28,261.65132486280004,474.1878869665155,177.68508921600906
2022-06-29,261.47348076664434,474.0326569816924,177.55853214642545
2022-06-30,261.2971360564692,473.87873572551433,177.43304206697516
2022-07-01,261.1222780910997,473.7261121642196,177.30860998196997
2022-07-04,260.9488943359375,473.5747753570711,177.18522697156337
2022-07-05,260.77697236206217,473.42471445557186,177.06288419111118
2022-07-06,260.6064998453403,473.27591870268765,176.94157287053758
2022-07-07,260.43746456554203,473.1283774320756,176.8212843137064
2022-07-08,260.269854405465,472.98208006731977,176.7020098977977
2022-07-11,260.10365735006593,472.837016121173,176.58374107268966
2022-07-12,259.93886148559903,472.693175194805,176.46646936034577
2022-07-13,259.77545499876214,472.55054697705697,176.35018635420693
2022-07-14,259.6134261758499,472.40912124370254,176.23488371858895
2022-07-15,259.4527634019141,472.2688878567148,176.12055318808493
2022-07-18,259.29345515993094,472.12983676353934,176.00718656697285
2022-07-19,259.1354900299756,471.9919579963742,175.894775728628
2022-07-20,258.97885668840337,471.85524167145456,175.7833126149404
2022-07-21,258.82354390703813,471.719677988345,175.67278923573724
2022-07-22,258.6695405523675,471.58525722923633,175.56319766821005
2022-07-25,258.5168355847445,471.4519697582495,175.45453005634675
2022-07-26,258.3654180575964,471.3198060207444,175.34677861036857
2022-07-27,258.2152771166399,471.18875654263525,175.23993560617154
2022-07-28,258.06640199910316,471.0588119297112,175.1339933847729
2022-07-29,257.91878203295414,470.92996286696336,175.028944351762
2022-08-01,257.7724066361356,470.8022001179164,174.92478097675587
2022-08-02,257.62726531580677,470.6755145239671,174.8214957928595
2022-08-03,257.48334766759075,470.5498970037273,174.71908139613058
2022-08-04,257.340643374829,470.4253385523733,174.61753044504857
2022-08-05,257.1991422078418,470.30183024100006,174.51683565998871
2022-08-08,257.0588340231947,470.1793632159813,174.41698982269992
2022-08-09,256.91970876297165,470.0579286983348,174.31798577578755
2022-08-10,256.7817564540539,469.9375179830931,174.2198164222002
2022-08-11,256.64496720740493,469.81812243867927,174.12247472472106
2022-08-12,256.5093312173619,469.6997335062886,174.02595370546328
2022-08-15,256.3748387609324,469.58234269927465,173.93024644537005
2022-08-16,256.2414801970977,469.46594160254114,173.83534608371832
2022-08-17,256.1092459661215,469.3505218719386,173.74124581762717
2022-08-18,255.97812658886465,469.23607523366627,173.64793890157006
2022-08-19,255.84811266610586,469.122593483679,173.55541864689135
2022-08-22,255.71919487786752,469.0100684870991,173.46367842132682
2022-08-23,255.59136398274796,468.8984921776332,173.3727116485281
2022-08-24,255.46461081725883,468.7878565569942,173.28251180759153
2022-08-25,255.3389262951682,468.6781536943276,173.19307243259038
2022-08-26,255.2143014068493,468.5693757256432,173.10438711211162
2022-08-29,255.0907272186347,468.46151485325146,173.01644948879616
2022-08-30,254.96819487217567,468.354563345204,172.9292532588832
2022-08-31,254.8466955838075,468.24851353474014,172.84279217175828
2022-09-01,254.72622064391962,468.1433578197368,172.75706002950528
2022-09-02,254.6067614163313,468.03908866216364,172.67205068646214
2022-09-05,254.48830933767266,467.93569858754256,172.5877580487802
2022-09-06,254.37085591677072,467.83318018441224,172.50417607398745
2022-09-07,254.25439273404072,467.73152610379657,172.4212987705554
2022-09-08,254.1389114408826,467.63072905867784,172.33912019746953
2022-09-09,254.02440375908247,467.5307818234747,172.2576344638034
2022-09-12,253.91086148021935,467.4316772335237,172.17683572829642
