,AAPL,MSFT,NVDA
2022-05-25,266.40203778829436,478.3055365709651,181.1216791242398
2022-05-26,266.1857856541755,478.15486464323243,180.9071212389807
2022-05-27,265.97001518644356,477.9564790151113,180.75891787565575
2022-05-30,265.7559973341592,477.770748618831,180.60600269325485
2022-05-31,265.54352506809226,477.58515503709293,180.45485356687735
2022-06-01,265.33286999193854,477.4012993204751,180.30494289519027
2022-06-02,265.123986807709,477.21897573616707,180.15629817333243
2022-06-03,264.9168650827541,477.0381910887561,180.00890659105082
2022-06-06,264.71148953666017,476.8589304593198,179.86275764548117
2022-06-07,264.5078454952086,476.6811811719894,179.7178408690549
