,SBER.ME,VTBR.ME,TCSG.ME
2022-05-25,-0.0023879077711521013,-0.001315739586708251,0.006770791715981643
2022-05-26,-0.0012571088372453723,-0.001443488363642623,-0.00012308865595257127
2022-05-27,-0.004121935777977157,-0.004361199388540623,-0.004391745819390011
2022-05-30,-0.0011667297908388307,-0.002065866186964352,0.00042501534184636973
2022-05-31,-0.0024474860209423403,-0.002949928675520845,-0.002209693735908673
2022-06-01,-0.0024111412291514885,-0.003057657117535883,-0.0014270060571525025
2022-06-02,-0.002171289909756868,-0.002664571747796278,-0.0008848739948373341
2022-06-03,-0.002079508787531493,-0.0027296013770888947,-0.0013216695987417575
2022-06-06,-0.0022605421903801244,-0.002799333407182931,-0.001205830182099255
2022-06-07,-0.002059793049998299,-0.0026481917025284506,-0.0010681815849805207
