,NLMK.ME,GMKN.ME,CHMF.ME
2022-05-25,161.7895763718161,21311.19445977779,1151.676038368939
2022-05-26,161.94504316120762,21321.482407289186,1152.6121870459274
2022-05-27,162.10143174601723,21331.867482498412,1153.5649281825165
2022-05-30,162.25798938404446,21342.25028303872,1154.516954066916
2022-05-31,162.41468496152442,21352.63850472844,1155.46987722026
2022-06-01,162.57153435398365,21363.03179843979,1156.4235826538584
2022-06-02,162.7285348754718,21373.430143304842,1157.378074749647
2022-06-03,162.88568705732567,21383.83355089914,1158.333354823739
2022-06-06,163.04299100219916,21394.242022110226,1159.2894233438583
2022-06-07,163.20044686085333,21404.65555961265,1160.2462809899066
