,NLMK.ME,GMKN.ME,CHMF.ME
2022-05-25,161.79097182447478,21311.759984522927,1151.6249084657024
2022-05-26,161.94706295128088,21322.631515235676,1152.5107487425503
2022-05-27,162.1070339297662,21333.625908447106,1153.5093535453732
2022-05-30,162.2668960808801,21344.552901173498,1154.4920792508094
2022-05-31,162.42782613708118,21355.519355495613,1155.4796627101548
2022-06-01,162.58868320395754,21366.48561716773,1156.4673145418392
2022-06-02,162.74973136303439,21377.459530660988,1157.4564644363581
2022-06-03,162.9109404040239,21388.438443929943,1158.446272219476
2022-06-06,163.07231267333958,21399.423173957657,1159.436959828849
2022-06-07,163.23384280386009,21410.413505978882,1160.4284913980853
