,GAZP.ME,LKOH.ME,ROSN.ME
2022-05-25,266.8388293189702,4418.489735100622,399.73790390328935
2022-05-26,266.99817173449503,4421.269510244405,399.8944366924862
2022-05-27,267.15537820236057,4424.030674018012,400.0498633685187
2022-05-30,267.3126329027531,4426.796214971496,400.20522677063
2022-05-31,267.4699933383141,4429.563655324388,400.3606628684492
2022-06-01,267.62744611265634,4432.332804738474,400.5161602191504
2022-06-02,267.78499143714816,4435.103684489459,400.67171785326
2022-06-03,267.94262950642536,4437.876296666311,400.8273358997183
2022-06-06,268.10036037403984,4440.650642151021,400.9830143881385
2022-06-07,268.2581840936738,4443.426722020612,401.13875334100527
2022-06-08,268.416100720025,4446.20453736098,401.29455278176584
2022-06-09,268.57411030779343,4448.984089257076,401.4504127339218
2022-06-10,268.7322129117028,4451.765378794497,401.6063332209755
2022-06-13,268.8904085865092,4454.548407059532,401.7623142664382
2022-06-14,269.048697387001,4457.333175139149,401.9183558938303
2022-06-15,269.207079367999,4460.119684120997,402.0744581266815
2022-06-16,269.36555458435595,4462.907935093403,402.23062098853046
2022-06-17,269.52412309095723,4465.6979291453745,402.38684450292504
2022-06-20,269.68278494272033,4468.489667366602,402.54312869342226
2022-06-21,269.84154019459515,4471.283150847455,402.6994735835883
