,XOM,CVX,COP
2025-11-21,117.17436488135128,150.5620778532362,87.65946273394391
2025-11-24,117.20005365789375,150.5976188718705,87.67332469924193
2025-11-25,117.23837714050057,150.6549421772754,87.70230790369325
2025-11-26,117.27549140365349,150.7100765032665,87.7297484941941
2025-11-27,117.31274954797962,150.765464315629,87.75736360190463
2025-11-28,117.35000591319051,150.8208483069123,87.78497032451995
2025-12-01,117.38727552674999,150.87625515890852,87.81258751123137
2025-12-02,117.42455682943894,150.9316821039241,87.84021320116683
2025-12-03,117.46184998771682,150.98712943818543,87.86784760134952
2025-12-04,117.49915498842712,151.04259713914166,87.89549069327062
2025-12-05,117.53647183709114,151.0980852173998,87.9231424818749
2025-12-08,117.57380053728863,151.1535936801207,87.95080296966846
2025-12-09,117.61114109280258,151.2091225348268,87.97847215941195
2025-12-10,117.64849350739618,151.26467178900594,88.0061500538405
2025-12-11,117.68585778483599,151.32024145015254,88.03383665569284
2025-12-12,117.72323392888953,151.3758315257634,88.06153196770829
2025-12-15,117.76062194332555,151.43144202333815,88.08923599262707
2025-12-16,117.79802183191399,151.48707295037914,88.11694873319023
2025-12-17,117.835433598426,151.54272431439148,88.1446701921397
2025-12-18,117.8728572466339,151.59839612288306,88.17240037221828
