,SBER.ME,VTBR.ME,TCSG.ME
const,-0.0008123521695294706,-0.0016141444365667236,0.0016769279818686404
L1.SBER.ME,-0.06787960731201098,0.0008002234438976297,0.026686558240135227
L1.VTBR.ME,0.05055504742216662,0.14904407235593298,0.10734232139150876
L1.TCSG.ME,0.0077830149847947115,0.026147673464865302,-0.05059403830607507
L2.SBER.ME,-0.00898079806350251,0.10017328990111378,0.0006644862778679777
L2.VTBR.ME,-0.06613796492301602,-0.028755195113991796,-0.04785615962062403
L2.TCSG.ME,0.018145897570383675,-0.020642222469403632,-0.054481125717396654
L3.SBER.ME,-0.1728432297119404,-0.043764885831841356,-0.35639030044032216
L3.VTBR.ME,-0.015094239413987201,-0.07484915760682342,0.21757878220633722
L3.TCSG.ME,0.177597167235277,0.19613086754063563,0.288098053701103
L4.SBER.ME,0.3367530328484069,0.18779504009074266,0.38461947324494605
L4.VTBR.ME,-0.21570220954887548,-0.10333308114367654,-0.13407524593749273
L4.TCSG.ME,-0.0679176017496234,0.019888246152185728,-0.08762653485371452
L5.SBER.ME,0.21699920478465426,0.15479070556566007,0.33598252282325897
L5.VTBR.ME,-0.1442665272369948,-0.08247090192076133,-0.07791265413176204
L5.TCSG.ME,-0.02643274692264015,-0.06592870729198287,-0.036355758701354025
L6.SBER.ME,-0.17327007877507283,-0.11081600547848486,-0.19581776388172464
L6.VTBR.ME,0.20276934955332093,0.10076756021515587,0.16654382189017503
L6.TCSG.ME,0.05871641708837992,0.05927808454377985,0.00486018418578572
L7.SBER.ME,0.16557437714152531,0.15282118538470194,0.12143283985868529
L7.VTBR.ME,-0.13896077290847259,-0.22114642693478878,-0.22799987648914366
L7.TCSG.ME,0.09869007412674038,0.06689880198370232,0.045367425834821326
