,NLMK.ME,GMKN.ME,CHMF.ME
2022-05-25,161.59320359091123,21293.88448087341,1153.8935760261031
2022-05-26,161.829378684883,21305.191850896175,1154.8947266048424
2022-05-27,162.0155164255268,21316.81129595226,1156.0401817755514
2022-05-30,162.2084138294953,21328.430668806675,1157.180742521921
2022-05-31,162.40084924447189,21340.062363719862,1158.3225893771605
2022-06-01,162.59358098772736,21351.699832694005,1159.465579544329
2022-06-02,162.7865351655135,21363.343714596416,1160.6096942374672
2022-06-03,162.97971888930854,21374.993940185454,1161.7549383236635
2022-06-06,163.17313182142385,21386.65051965614,1162.901312446546
2022-06-07,163.36677428659945,21398.313455842403,1164.0488177708005
2022-06-08,163.56064655277345,21409.982752266085,1165.1974554078126
2022-06-09,163.75474889302646,21421.65841239088,1166.347226475351
2022-06-10,163.94908158036426,21433.34043968755,1167.4981320918
2022-06-13,164.14364488814914,21445.028837628313,1168.6501733766918
2022-06-14,164.33843909006512,21456.723609687328,1169.8033514506587
2022-06-15,164.5334644601212,21468.424759340633,1170.95766743544
2022-06-16,164.72872127265157,21480.13229006617,1172.113122453881
2022-06-17,164.924209802316,21491.846205343772,1173.2697176299357
2022-06-20,165.11993032410018,21503.566508655178,1174.4274540886665
2022-06-21,165.31588311331612,21515.29320348402,1175.5863329562465
