,AAPL,MSFT,NVDA
2025-11-21,267.1283942103907,478.73042257211256,181.6886185891656
2025-11-24,267.2151333491495,478.33716602428683,181.9047732467313
2025-11-25,266.77510787402247,477.68061506788086,181.83948918340369
2025-11-26,267.04444595920495,477.80884039261804,182.45052442791845
2025-11-27,267.2001256072883,478.60083144271243,182.78032407680635
2025-11-28,267.6889665875625,480.12597287601585,183.10667866843153
2025-12-01,267.28525040586896,480.2689616479203,182.93375987142338
2025-12-02,267.9004271683063,482.0526636062418,183.94402054094164
2025-12-03,268.2505979743421,482.7069996373185,184.61656578289393
2025-12-04,268.55202589679004,483.24318856895366,185.10287344294235
2025-12-05,268.85757359841995,483.79688464013515,185.57056201040498
2025-12-08,269.0368406772825,484.0692352075392,185.89808591209123
2025-12-09,269.33227931442906,484.52346651216544,186.34966379745256
2025-12-10,269.4754762243401,484.7724323187128,186.66315585992174
2025-12-11,269.8284926889505,485.42588688284513,187.18092671792348
2025-12-12,269.96588320627245,485.7035499567367,187.48200096018132
2025-12-15,270.2255528029066,486.25899911504354,187.9165512624508
2025-12-16,270.46639835554464,486.7403402952832,188.33101766841315
2025-12-17,270.6820856990063,487.1976229880909,188.73120982795936
2025-12-18,270.934181251281,487.71605717908335,189.16667149949342
