Price,Close,High,Low,Open,Volume
Ticker,COST,COST,COST,COST,COST
Date,,,,,
2015-11-23,137.53407287597656,137.91272025578107,136.92823193252073,137.6013899629629,1174300
2015-11-24,136.4738006591797,137.92949514408912,135.47248027242475,136.5326950610626,2799500
2015-11-25,136.64212036132812,137.15540182652563,135.59031513259708,136.3476097615157,1828000
2015-11-27,137.64340209960938,138.3418021148708,136.72623128078072,137.2479224182033,866300
2015-11-30,135.8258514404297,138.36701521390108,135.29573775817033,138.13982180158808,3063800
2015-12-01,135.71649169921875,137.18901864050454,135.25370778920458,136.33075503910604,1939700
2015-12-02,135.5482177734375,136.68417236698642,135.16116070382242,136.0699218107781,1585700
2015-12-03,137.71913146972656,139.76384697016985,137.41621113038,138.42594131506326,3440000
2015-12-04,140.3528289794922,140.7230663073062,138.00519357785953,138.09775290981304,2578600
2015-12-07,140.6221160888672,140.941868915019,139.3010556955334,140.79882497685014,2791900
2015-12-08,142.09469604492188,142.81833866267377,139.570363123381,140.30242840143424,3158500
2015-12-09,134.39540100097656,137.90422000802337,133.1332353363088,136.9197323303121,9527000
2015-12-10,136.1961669921875,137.5004081492341,135.14436167834674,135.4136171621914,3653300
2015-12-11,134.6479034423828,135.6408014278171,134.09254719319782,134.4038774361866,2511200
2015-12-14,136.17926025390625,136.21292519566714,134.13455800169282,134.70673361749442,2427300
2015-12-15,135.71649169921875,137.77803968855164,135.23687531483912,137.42463476337298,2378700
2015-12-16,136.95338439941406,137.3656964719627,134.63100419916714,136.27181699496188,2196300
2015-12-17,135.2032012939453,137.64339633655948,135.1358970798316,136.6841507927498,1703900
2015-12-18,132.69569396972656,135.20319307400618,132.6115572874921,134.4543085532234,4295800
2015-12-21,134.1177520751953,134.15140418420322,132.3843795744302,133.62971303837728,1453500
2015-12-22,135.66603088378906,135.8006650234682,133.81485640116463,134.54690867161537,1742100
2015-12-23,136.0699462890625,136.67577429660116,135.28739651198347,136.67577429660116,1581000
2015-12-24,136.10357666015625,136.59161575552554,135.84273105594897,136.1877262018955,491000
2015-12-28,135.60716247558594,136.53274347467328,134.96765660919104,135.51460309173515,1124700
2015-12-29,136.8692626953125,137.34887902373455,135.9100171990539,136.2297571381971,1169600
2015-12-30,136.911376953125,137.53403737805087,136.7430778593868,137.12173798087957,889900
2015-12-31,135.8931884765625,137.99679820530187,135.8931884765625,136.3812274743598,1873400
2016-01-04,134.2439727783203,134.71519221279414,132.8387628111263,134.47116625787166,2640800
2016-01-05,134.57211303710938,135.6659926446974,134.16822357133128,134.77406418970574,2127700
2016-01-06,133.32679748535156,134.46275200623558,132.6368200908878,133.25107060780365,2033400
2016-01-07,130.27236938476562,132.1571957729964,129.20373188395612,130.2976116782211,3826000
2016-01-08,127.99201965332031,130.676227486706,127.7395839400696,130.6593950153123,3156200
2016-01-11,130.18824768066406,131.2316431110916,128.00048762440034,128.15195425693284,2164500
2016-01-12,131.3157958984375,131.62712618199572,130.3733823875016,131.0212980959806,2215600
2016-01-13,128.00045776367188,131.28209708250662,127.79851941996402,131.24002231442861,2157500
2016-01-14,128.8923797607422,129.71700408675886,127.33571613681127,127.86582994076257,2281500
2016-01-15,126.5447769165039,127.49561285234014,124.7440870670221,125.61918327636084,2975400
2016-01-19,126.61207580566406,127.89948405883987,125.86319118231722,127.72277517494182,2242600
2016-01-20,125.22369384765625,126.21659153817035,121.93364494676818,124.920773514388,3796800
2016-01-21,126.53641510009766,127.26005780979557,124.62633268506549,125.34997539476339,2211800
2016-01-22,129.32151794433594,129.33835041774947,127.6049651597832,128.0509294096273,2544100
2016-01-25,126.87293243408203,129.98627284143782,126.6794038982256,129.6412905399765,1820600
2016-01-26,124.9544448852539,127.66389582843773,124.78615863847715,126.87293634522761,2828600
2016-01-27,124.3064956665039,125.87158173228019,123.45664200497164,125.61914601081676,2189500
2016-01-28,125.87157440185547,126.19132715304853,124.37380547165644,124.99647850308153,2076100
2016-01-29,127.15898132324219,127.57970321786848,123.61651016056014,125.79584649326522,3221300
2016-02-01,127.26842498779297,128.0593845263216,126.3764962620202,126.92342981215074,2142000
2016-02-02,124.9544448852539,126.88134616377029,124.62628221024306,126.2082011766633,1931400
2016-02-03,123.43987274169922,126.1998089402813,122.38806739652554,125.61080051486819,2546900
2016-02-04,120.56208801269531,122.1271742717641,119.30833190621352,122.00937263245423,5340500
2016-02-05,121.1595230102539,122.17766303352593,119.82161732732351,120.55368231896139,4079300
2016-02-08,123.70913696289062,124.15510138727394,119.16533031905068,120.10775660782134,3782000
2016-02-09,124.48322296142578,125.98099220069587,123.04434812355242,123.0527707804777,3228300
2016-02-10,124.91349792480469,126.70219093536016,124.5169461159781,126.02720831134326,2189600
2016-02-11,123.73233795166016,125.20042493889788,122.13769729062145,124.13733545628183,2198100
2016-02-12,125.41978454589844,125.94290308585178,124.02764268585082,124.85449003230576,1951800
2016-02-16,125.80786895751953,127.09876752329677,124.61821329910514,126.01036764647047,2186400
2016-02-17,127.3265609741211,128.22934015810281,125.63911073378834,126.34783674491443,2174600
2016-02-18,125.41978454589844,126.42381990370814,123.87577828260004,125.82478203635822,2894300
2016-02-19,125.46196746826172,125.8332087132019,123.90108316469005,125.71508766928713,2471700
2016-02-22,126.60942077636719,126.71066369606783,125.2847787047856,126.24662506462205,2161300
2016-02-23,126.86248779296875,128.04369760862468,125.8162641889439,126.46593602466538,1850600
2016-02-24,129.8240203857422,130.2796393015095,126.27194373771471,126.58411800924694,2590100
2016-02-25,130.5411834716797,130.67618261365723,128.9718538503143,130.51587274183723,1746900
2016-02-26,126.28887939453125,129.43598609310666,125.51265315531175,129.1659876407339,3800800
2016-02-29,126.58409881591797,128.49935874710317,126.2972353193988,126.5503554704204,3115800
2016-03-01,126.99755859375,127.57128572127208,126.03571209378809,126.89630278507121,2681400
2016-03-02,128.91275024414062,129.04774934773394,126.88781518713364,127.5121763855853,2947600
2016-03-03,127.90873718261719,128.2124787499071,124.34821603936163,125.3438055312305,5552600
2016-03-04,127.31815338134766,128.0522032088641,126.58411642805868,128.02689247766293,2155600
2016-03-07,125.0147476196289,127.30968094171457,124.53383100300296,126.52502277145307,3159600
2016-03-08,127.36035919189453,128.17877394103616,124.11202380413029,124.58450801513388,3156300
2016-03-09,129.13218688964844,129.5118607796289,127.66409992426438,127.69785615292834,2395300
2016-03-10,128.98025512695312,130.51584102679374,127.44468210133616,129.26713145250184,1413000
2016-03-11,128.84530639648438,129.93370645472427,127.7400153519016,129.80715279942686,1829900
2016-03-14,128.81150817871094,129.34305910612514,127.95090498056962,128.46557780137078,1218400
2016-03-15,130.0855255126953,130.28802416483776,128.07746859439658,128.07746859439658,1398500
2016-03-16,129.98431396484375,130.7774177841853,128.77779299975361,129.68057235050497,1485500
2016-03-17,129.7987060546875,130.5580666018321,129.5877747150741,129.78184081696207,1583200
2016-03-18,129.21653747558594,130.52431439629618,128.8959305839778,130.42307146991757,3611700
2016-03-21,129.88311767578125,130.22904825294572,128.64284004485944,128.93814914716677,1367400
2016-03-22,128.44029235839844,129.77337981030038,128.24623915393556,129.2671523802808,1943100
2016-03-23,129.52027893066406,129.87464204667435,127.94251658395042,128.39812262618432,2127300
2016-03-24,127.76531982421875,130.001199660689,127.27597046488854,129.29247347728656,2506500
2016-03-28,128.81150817871094,129.8830426497343,128.06059336221972,128.07747146883278,1767400
2016-03-29,130.99679565429688,131.16555102683222,128.6849963916002,128.89592773304202,1655400
2016-03-30,132.97108459472656,133.51106815872222,131.3258103047523,131.54518707633483,2642700
2016-03-31,132.95423889160156,134.8273101519602,132.90361743173676,133.27485863638108,2692400
2016-04-01,133.51951599121094,134.22824208580522,132.4648594667938,133.19889628803608,1531500
2016-04-04,133.08079528808594,134.1438974640968,132.0092733675596,133.88233179235183,1458400
2016-04-05,131.61273193359375,133.3086153806123,131.3849224670835,133.21580507012504,1855600
2016-04-06,132.2708282470703,132.81081196231787,130.96305136466893,131.46084623708535,1572600
2016-04-07,128.27154541015625,130.42304731685846,127.8074939598126,130.2880481905357,4050100
