Price,Close,High,Low,Open,Volume
Ticker,CVX,CVX,CVX,CVX,CVX
Date,,,,,
2015-11-23,58.67967224121094,58.9599997200743,57.44101582358712,57.79305533009819,6889600
2015-11-24,59.55326461791992,60.17259548759982,58.54278526284128,58.797035260000726,8549000
2015-11-25,59.24034118652344,59.533705024324846,58.77747570027956,59.136030949393955,5419300
2015-11-27,58.91438674926758,59.22078691930717,58.70577122190737,58.83615406133756,2547800
2015-11-30,59.533695220947266,59.9509261531883,58.96000393256211,59.09038673371804,12179400
2015-12-01,60.28995895385742,60.4007848865554,59.305551908993856,59.305551908993856,6975500
2015-12-02,58.83616638183594,60.426863219671546,58.69274224415731,60.3681874479905,11830700
2015-12-03,57.923458099365234,59.59890291866808,57.60401666753336,59.20122880047912,10996800
2015-12-04,58.48411560058594,58.55582765584834,56.38491901662093,57.30413446655539,13170200
2015-12-07,56.89993667602539,57.33020898474678,55.34835905340151,57.03032448493475,15378900
2015-12-08,56.352333068847656,57.36933329473328,54.92461738728726,55.94161761317289,13397500
2015-12-09,57.10856628417969,58.764454562409774,56.26106769924426,56.502276501102486,14675800
2015-12-10,58.21682357788086,58.97305294047631,57.115070267519705,57.36932026625134,14534800
2015-12-11,56.352333068847656,57.31066250037246,56.1241556051229,57.271543663677996,13186900
2015-12-14,58.236392974853516,58.405889694444284,55.68085117312881,56.26106334306663,12430700
2015-12-15,60.47249221801758,60.88972332214381,59.03174028442744,59.05129721527913,19158500
2015-12-16,60.91579818725586,61.16352759003959,59.20123437639373,60.35514298335704,16917900
2015-12-17,59.02518844604492,61.2808444645895,58.933919501128074,60.95488252594807,14082500
2015-12-18,58.54930114746094,59.50110972552082,58.21682344145936,58.71228217056269,20167200
2015-12-21,58.17769241333008,59.129500791786775,57.50621153477252,58.933926589350094,12852300
2015-12-22,58.849185943603516,59.188189258763956,57.56489965276613,58.099477212408864,9661700
2015-12-23,61.15697479248047,61.18305234334123,59.69666676076777,60.10737699581014,11172800
2015-12-24,60.00960159301758,61.24825311911348,59.983524038160766,61.24825311911348,4998700
2015-12-28,58.90788269042969,59.14257584647028,58.47109458427167,58.87528448450653,6800000
2015-12-29,59.488075256347656,60.35513551954614,59.3707287171645,59.905306290379684,6471200
2015-12-30,58.73183059692383,59.312047531071045,58.60144778682795,58.73835122956424,5600200
2015-12-31,58.647090911865234,59.23382359134731,58.03428067176328,58.26897374355611,6988700
2016-01-04,57.923458099365234,58.74488389786217,57.08899600670198,58.36676670781588,11397300
2016-01-05,58.418914794921875,58.4449923538996,57.26500643563995,58.05383891680528,7883400
2016-01-06,56.111106872558594,57.225896482422996,55.517858530205714,57.00424467669159,14511400
2016-01-07,54.12273025512695,55.90248502816268,53.89455784160585,55.120178189294464,15368800
2016-01-08,53.54252624511719,54.65731589471374,52.94927788162038,54.36395202989908,11891600
2016-01-11,52.65591049194336,54.09014658129015,52.00398635327294,54.01191389408657,14366400
2016-01-12,53.555564880371094,53.71854590254277,51.951832219056094,53.58815810053378,13477500
2016-01-13,53.0209846496582,54.92460169880431,52.160445094990386,54.21400686542985,15550100
2016-01-14,55.719940185546875,56.17628495598163,52.773241178843996,53.42516512162791,16433400
2016-01-15,54.54650115966797,54.63777015736045,52.72111623203102,53.22309571933966,17870300
2016-01-19,53.13833236694336,55.25056496221947,52.66894624048512,54.87244780770746,13155600
2016-01-20,51.488975524902344,52.35603093116842,49.10945119920052,52.1408997251611,26151100
2016-01-21,52.838443756103516,53.229597172943606,50.86310979955776,51.37161471261399,16107800
2016-01-22,54.46174240112305,55.53741821006567,53.275240683821586,55.06151140683887,15724600
2016-01-25,52.734134674072266,54.95067738282019,52.675463898471975,53.64682931576678,12370300
2016-01-26,54.8398551940918,55.08758455299794,53.034022713957384,53.43821743260151,12191400
2016-01-27,54.298770904541016,56.13067643941005,53.6924811583912,54.72903831940916,12380600
2016-01-28,56.013309478759766,56.515293749389215,54.566037387645906,55.902483591296026,13017400
2016-01-29,56.37187957763672,56.528339974124684,54.07710388481036,54.79422439743505,20248900
2016-02-01,55.60260009765625,56.124136327837284,54.91807788917331,55.51133113302993,10958300
2016-02-02,52.962303161621094,54.1357683244206,52.77976524158234,53.920632215609814,13326200
2016-02-03,55.16581726074219,55.172332920395064,52.05613662393591,53.71202437860464,13964100
2016-02-04,55.27663803100586,56.18933265010324,54.65079157116964,55.14625024325735,12825000
2016-02-05,54.03145980834961,54.950675043914146,53.627270107989695,54.7225026366488,15090100
2016-02-08,56.05893325805664,56.52179861773242,52.87102587084482,53.301298020669485,17712800
2016-02-09,54.05754089355469,55.92856470281565,53.56859785730954,55.465699225357874,12605600
2016-02-10,54.13578796386719,54.696443192401546,53.13182406564954,53.95976563869702,12110300
2016-02-11,54.103187561035156,54.53998055184913,52.57116669724108,53.197013327709804,12741400
2016-02-12,55.693878173828125,55.79166778729348,54.240085187235294,54.63124364109671,9835100
2016-02-16,55.99095153808594,56.37386458312108,55.00066230657047,56.26823635093261,10631500
2016-02-17,58.301639556884766,58.53271112583525,56.1296040816077,56.387083973777465,12710500
2016-02-18,57.25852584838867,58.92220954883828,57.179300896225726,58.59211313679997,9517800
2016-02-19,57.106685638427734,57.13309395875454,55.984359727334635,56.99445405469284,9783300
2016-02-22,58.638336181640625,59.31173075792723,57.10668877662117,57.10668877662117,10299900
2016-02-23,56.056976318359375,58.413864549641076,55.91833138986784,58.35444457502018,10655800
2016-02-24,56.294639587402344,56.439882813810726,54.72998582642647,55.01386894071427,9775200
2016-02-25,56.31446838378906,56.585144911289184,55.28456381527214,56.558736585237654,9452600
2016-02-26,55.6872673034668,57.502797687044904,55.641054004268774,57.41697442764053,9369900
2016-02-29,55.08649826049805,56.2484341605765,54.84222506946736,56.07678762978195,11549600
2016-03-01,56.86240768432617,57.12648582857546,55.04027906643657,55.53542369807711,11614700
2016-03-02,57.52922821044922,57.555636539736774,55.7203004676787,56.380493589246285,9637600
2016-03-03,57.786678314208984,57.81308663215814,56.80959573444855,57.43677691590809,8526100
2016-03-04,58.050777435302734,58.50631227002207,57.238737734743054,57.714077555863504,9328600
2016-03-07,59.85969161987305,59.91911160261327,57.79989290649533,58.05736774566755,12784300
2016-03-08,58.58551788330078,60.13037192401008,58.31484140724798,59.6682338612564,10508400
2016-03-09,61.27911376953125,62.4806648223898,59.067468237336,59.21930980597111,19323100
2016-03-10,62.01853942871094,62.02513773294945,60.75096488950476,61.25931638078432,12090900
2016-03-11,62.44104766845703,63.470947013276515,61.648813141242435,62.68531582559525,14098800
2016-03-14,62.229793548583984,62.60610335685666,61.45736391107871,61.77425876709021,6898900
2016-03-15,62.23638153076172,62.32220983006903,60.902794109042155,61.496968717480385,7006300
2016-03-16,62.9824104309082,63.47095181904733,61.87328603832704,62.53347900922362,9969200
2016-03-17,63.96610641479492,64.52726951924895,62.90979850578616,63.54358325119142,10679400
2016-03-18,64.4942398071289,64.63948303705305,63.286085707528834,64.59986804179181,14436300
2016-03-21,63.66901397705078,64.39522526334872,63.319112495999136,64.05192208569113,8040100
2016-03-22,63.048404693603516,63.97927884552116,62.92956980265384,63.2134528734297,7567100
2016-03-23,61.787452697753906,62.59288886256843,61.424349615448364,62.533473917724194,10302800
2016-03-24,62.6192741394043,62.67869409925386,60.9027741938883,61.094230673827404,8159100
2016-03-28,62.50706481933594,62.77114299028393,62.058133439786,62.652308065200934,5054000
2016-03-29,62.92959976196289,62.97581307284047,61.35834215525209,61.919505226443576,6616600
2016-03-30,62.88336944580078,63.834048768906335,62.82395450654256,63.609580579007854,6182900
2016-03-31,62.9824104309082,63.51056178550188,62.68532057188116,62.84377051144463,5943900
2016-04-01,62.229793548583984,62.57309169212966,61.60921051720092,61.853483740311304,7555900
2016-04-04,61.681827545166016,62.375032157698115,61.424352697510656,62.34862383526263,6552000
2016-04-05,61.18006896972656,61.62900030016907,61.02162409923851,61.3979338146924,6662000
2016-04-06,62.61270523071289,62.71833853436461,61.27911751178532,61.49698242291214,6836400
2016-04-07,62.579689025878906,62.73813392024025,62.11095264560866,62.30240920152846,6817700
2016-04-08,63.596397399902344,63.95290224955882,63.22008756474382,63.54358074731474,7108500
2016-04-11,62.87676239013672,64.23676301626925,62.81734745439065,63.95287990389353,6644200
2016-04-12,64.37542724609375,64.65931046581687,63.00222446060175,63.17387606800659,8783400
2016-04-13,64.4348373413086,64.6395006013012,64.05852752373895,64.56687896660591,6406800
2016-04-14,64.68569946289062,64.87715096228186,64.27637807120347,64.46783460746657,6162200
2016-04-15,64.19055938720703,64.56686914754908,64.01230447938215,64.50744916598337,6551600
2016-04-18,65.16104888916016,65.2006638953304,63.061634889565354,64.19056938326675,7770200
2016-04-19,66.34938049316406,66.36918547248645,64.80453166355893,65.35909123207206,10584800
2016-04-20,67.13502502441406,67.69618804399127,65.91366399507979,66.07211393512036,10150500
2016-04-21,66.94357299804688,67.86784423014475,66.75211641850086,67.10201791196071,8278600
2016-04-22,67.34629821777344,67.66979142009123,67.00959833306595,67.16804326362744,5754000
2016-04-25,67.01618194580078,67.18782847134851,66.56725057730665,66.98977362566913,6612100
2016-04-26,67.5311279296875,67.98666261269999,67.14821486387619,67.37268305437212,5650700
2016-04-27,68.56103515625,68.62045513945566,67.59055073782729,67.9338538839942,8383600
2016-04-28,67.6037368774414,68.83169576396847,67.37267042822842,68.08567475196121,7598000
2016-04-29,67.45851135253906,67.7555961455606,66.42200869134835,66.77191012571171,8826900
2016-05-02,68.20453643798828,68.56104125833485,67.20764864594045,67.22745362981424,6844500
2016-05-03,66.89073944091797,67.57073727133576,66.7124895874273,67.51132233246277,7033600
2016-05-04,66.40880584716797,67.53774021433013,66.27676927306146,66.71909733687795,7444100
2016-05-05,66.9567642211914,67.73579206225857,66.58705780064165,67.24064737607704,6474300
2016-05-06,67.24723815917969,67.80179768645725,66.57383869106118,66.57383869106118,5966800
2016-05-09,66.2503662109375,67.2076490782685,65.4119233213593,67.08881413738854,9342100
2016-05-10,66.85773468017578,66.87094135920212,66.28997340384937,66.44181495454654,6698100
2016-05-11,66.77191925048828,67.16803404093913,66.11832959440073,66.83793754275129,6850700
2016-05-12,67.41893768310547,67.61699263944656,66.73233608666497,67.4387426750521,6532400
2016-05-13,66.50782775878906,67.36608049737983,66.25695628355524,67.09539900523886,5665200
2016-05-16,67.5311279296875,67.7357861035062,66.94355669005748,67.25384813866762,6779400
2016-05-17,67.21756744384766,68.17162344342955,66.94402452761877,67.43106224353855,7028000
2016-05-18,66.7572250366211,67.56450250161349,66.34358167694127,67.31765213280279,5927500
2016-05-19,66.61711120605469,66.77056297812038,65.72977138394552,66.22348224007517,6241100
2016-05-20,66.57707214355469,66.98404733415887,66.37691857469088,66.9173311745765,4707100
2016-05-23,66.30351257324219,66.80389127926215,66.09669100359088,66.17008028768304,4231200
2016-05-24,66.84394836425781,67.22423610994137,66.46366061857425,66.67715540404367,4383300
2016-05-25,67.89810180664062,68.03821242576782,67.2642903530157,67.2642903530157,5428200
2016-05-26,67.71792602539062,68.2983672237643,67.3643258467702,67.95143509711015,4147200
2016-05-27,68.0648422241211,68.12489031306822,67.29759898065417,67.63785282093221,5008900
2016-05-31,67.38436126708984,68.23834047664998,67.09747714917971,68.15160996290696,8141800
2016-06-01,67.47108459472656,67.63787755039543,66.64379295984178,66.87730207975477,4815200
2016-06-02,67.07076263427734,67.09745011008621,66.53035524696547,66.98403215548517,6714100
2016-06-03,67.15751647949219,67.47775609611783,66.71718064398576,67.15084333619505,4957800
2016-06-06,67.49775695800781,68.07819814615067,67.33096403970289,67.61117492082734,5948200
2016-06-07,68.93219757080078,69.18572104956907,67.7913342811674,67.94478096117118,9807000
2016-06-08,68.77873229980469,69.43923598792675,68.49852139036186,69.0856357798037,6318100
2016-06-09,68.5919189453125,68.80541367978518,68.07152584816762,68.07819899021501,4247500
2016-06-10,68.03816986083984,68.69866839584445,67.55780543897615,68.36508255734088,8108400
2016-06-13,68.11823272705078,68.78540445814846,67.63786826624182,67.71793070641543,6360100
2016-06-14,67.5711669921875,68.08489218873432,67.06411493965385,67.8914117332923,6924000
2016-06-15,67.13750457763672,67.81134960293103,66.88398109520443,67.13750457763672,5627000
2016-06-16,67.4310531616211,67.55781743159228,65.89655599605996,66.69716520465931,8043000
2016-06-17,67.7646484375,67.87806643679319,66.98405855043379,67.67791792453183,8762200
2016-06-20,68.45848083496094,68.98554702942089,68.4518076934799,68.63861493402457,6627000
2016-06-21,68.87881469726562,69.01892016341523,68.231657241634,68.51187326405004,4938700
2016-06-22,68.2449951171875,69.08563290059807,68.17827896392677,69.0522722789096,4866400
2016-06-23,69.67943572998047,69.68610378417856,68.76540838318951,69.01893187589492,5593600
2016-06-24,67.98480987548828,68.72537100724902,67.49777220437505,67.69125264412594,11481400
2016-06-27,66.95738220214844,67.65124169166667,66.39695507633361,67.55116487382992,8248700
2016-06-28,67.80467987060547,68.05153531153086,67.1441811001677,67.53114203239093,7171100
2016-06-29,68.99891662597656,69.83955464459552,68.2516873561976,68.39846089839159,8887500
2016-06-30,69.93963623046875,70.05305423951393,68.90551767945729,69.09232500967713,7649700
2016-07-01,69.48595428466797,69.97298692037252,69.23909884964608,69.9062707485097,6117800
2016-07-05,69.09898376464844,69.29913734255555,68.6186192497649,69.05228194181903,7766600
2016-07-06,69.77283477783203,69.78617597546403,68.35842859332291,68.89216812071585,6166900
2016-07-07,68.75205993652344,70.05304298447395,68.1449311207351,69.97965367509036,7707400
2016-07-08,69.89958953857422,70.03302695702017,68.71869765350051,69.30580702431159,9043600
2016-07-11,70.31324768066406,70.72022295582683,69.9196186942608,69.92628674852278,7206100
2016-07-12,71.24061584472656,71.58754808892498,70.8403137161357,70.92037617790096,8377200
2016-07-13,71.15388488769531,71.52082638241345,70.62681847043918,71.24061540314847,5959900
2016-07-14,71.18724060058594,71.77435513773865,71.00710642494353,71.52082655483444,4750900
2016-07-15,71.40741729736328,71.74767643760164,70.98042763084071,71.6075709304725,6164300
2016-07-18,70.7802505493164,71.22058636023286,70.7335487290783,71.16721139707026,4931500
2016-07-19,70.74689483642578,70.90034149248527,70.48669825431044,70.70686615921315,4630800
2016-07-20,70.44669342041016,70.80696693364301,70.05306435917275,70.67353456138731,6802000
2016-07-21,70.31324768066406,70.62014615060164,69.96632052468352,70.31992082504381,5701000
2016-07-22,70.4933853149414,70.72022131742007,70.18648176199625,70.50672651327407,5255400
2016-07-25,68.76538848876953,70.12641939872428,68.5719080805287,69.95962646990802,7784000
2016-07-26,68.5052261352539,68.82547095814722,68.10492392422634,68.43183680271832,6101100
2016-07-27,68.22500610351562,68.93220675278246,67.91810761251081,68.50521710528723,5412200
2016-07-28,67.91142272949219,68.19830682651501,67.37101516375137,68.1115712289694,8226200
2016-07-29,68.37178802490234,68.49187918714628,66.61712242710942,67.07079958557335,10157600
2016-08-01,66.1233901977539,68.11823223406637,65.79647747711455,67.60451224449024,11550600
2016-08-02,66.44364166259766,66.76388638814953,65.32279784845919,66.39693983700856,9752700
2016-08-03,67.12416076660156,67.1441751078411,66.24349412124097,66.48367639634998,6611700
2016-08-04,66.97737884521484,67.43772903151991,66.71718224168166,66.90398953753963,6088100
2016-08-05,67.05741882324219,67.43103328974789,66.53035264935575,67.37765834021411,6710500
2016-08-08,67.51776885986328,67.83801349111535,67.19752931872694,67.37766342435167,5447500
2016-08-09,67.59783172607422,68.05150865403911,67.23088528061888,67.95143188799531,4957300
2016-08-10,66.81060791015625,67.92478399919283,66.67717553774085,67.81803911928426,5081300
2016-08-11,67.6512451171875,67.95814364133989,66.97739993909279,67.1508660927854,4836600
2016-08-12,68.15826416015625,68.27168212893433,67.55780860468968,67.8780481741944,5199000
2016-08-15,68.56525421142578,68.7587346740528,68.33174506346822,68.45850935383847,4886300
2016-08-16,68.46517944335938,68.67200109516284,68.27169898936495,68.56525115222077,5384300
2016-08-17,68.91687774658203,68.97081510076377,68.1078328651036,68.43145184644482,5311600
2016-08-18,69.81359100341797,69.84729800357294,68.80902672503154,69.1933215043049,6944400
2016-08-19,68.98431396484375,69.53041566597201,68.84947568971964,69.48996521218488,5057200
2016-08-22,68.72811126708984,69.03824337914828,68.25616707102273,68.60001131985379,5494900
2016-08-23,68.55282592773438,68.88318330538128,68.43146942153238,68.78879548319645,4929700
2016-08-24,68.90340423583984,68.96408505703224,68.2831399733744,68.36404602038085,5178300
2016-08-25,68.69440460205078,68.96408628646303,68.4516916004548,68.96408628646303,4490100
2016-08-26,68.31008911132812,69.09216524404455,67.99995706882811,68.84270886162665,4776200
2016-08-29,68.80227661132812,68.92363310732496,68.09436286072157,68.25616980746733,4026900
2016-08-30,68.5663070678711,69.19331482019531,68.34382442833707,68.80228176491553,3712800
2016-08-31,67.81118774414062,68.31683886645351,67.36621228750566,68.22918937991979,6249100
2016-09-01,67.56173706054688,67.81119348709751,67.06282935119525,67.65612486653909,6045000
2016-09-02,68.04718017578125,68.4045062663263,67.59546625542247,68.02021148958434,4676600
2016-09-06,69.05846405029297,69.1798205334228,68.07413041768416,68.23593734727407,5429000
2016-09-07,69.36186981201172,69.476488011531,68.93038113073567,69.27422544179187,5284300
2016-09-08,70.1978759765625,70.3529394718663,69.08544225182762,69.67199438134672,5788800
2016-09-09,68.2763900756836,69.71918615389282,68.24942653964204,69.67873056233107,7808700
2016-09-12,68.93712615966797,69.13938873401823,67.80446705955859,68.229212293193,8149100
2016-09-13,67.03588104248047,68.53260976910676,66.8605871450487,68.53260976910676,9300400
2016-09-14,66.35494232177734,67.38647029009088,66.18639186568032,66.82688668510005,8201400
2016-09-15,67.08306121826172,67.6831002488145,66.3616656903078,66.40885959797768,6701600
2016-09-16,65.9638900756836,66.61786653000364,65.75488920033412,66.29425260325289,12725600
2016-09-19,66.09871673583984,66.64481831358606,66.06500460280024,66.29423579122104,6182000
2016-09-20,65.86949920654297,66.39538081476466,65.85601743678104,66.18637480532706,5771900
2016-09-21,67.17068481445312,67.21114039691531,66.24028871779993,66.30770783023881,6361600
2016-09-22,67.40667724609375,67.92581020725656,67.3122842912233,67.7707415782729,5416700
2016-09-23,66.89427947998047,67.79096878758848,66.65830996317565,66.97518037502802,7396800
2016-09-26,66.59761047363281,67.60891252814737,66.51670960127052,67.07629282885325,5781800
2016-09-27,66.73249053955078,67.19094792885188,65.93018882233608,66.23357754806797,6476100
2016-09-28,68.86969757080078,68.95734193099848,66.57741099880087,67.09654399093382,10190900
2016-09-29,68.2763900756836,68.95059163921606,67.7437753669927,68.76855948031218,8148400
2016-09-30,69.38883209228516,69.84728941678968,68.24943480960138,68.65395476798766,9431500
2016-10-03,69.07194519042969,69.32814506568181,68.70788088809682,69.13936945891678,4334700
2016-10-04,68.2763900756836,69.38882368426212,67.93255098178183,69.24724197317026,6505400
2016-10-05,68.92363739013672,69.3551260374375,68.60001833278592,68.76182528958611,5912800
2016-10-06,68.88993072509766,69.24051334998647,68.32359861566087,68.98431855271198,4362900
2016-10-07,68.9505844116211,69.75962928930352,68.89665220144161,69.10565301822871,5844500
2016-10-10,70.10350036621094,70.40014563904394,69.58436213718865,69.58436213718865,5982700
2016-10-11,69.46973419189453,70.1843862492051,69.22702120191168,69.96864194074813,5337300
2016-10-12,68.86969757080078,69.32815488520076,68.4988846165985,69.26747406371756,4935100
2016-10-13,67.9527816772461,68.57978938756794,67.15722356246944,68.42472075221947,7883000
2016-10-14,68.14830017089844,68.74159573766869,67.83142459027962,68.4179818444304,5114700
2016-10-17,68.33706665039062,68.42471099646104,67.838158964587,68.05390324577905,4540800
2016-10-18,68.6269760131836,68.93710810722287,68.17526221167529,68.76181426493994,4720900
2016-10-19,68.9505844116211,69.91469275216195,68.93035918983514,69.08542779644276,5905700
2016-10-20,68.6809310913086,68.91690066463798,67.8853728556903,68.5258624324059,4820900
2016-10-21,68.29662322998047,68.47191194015124,67.84490425473287,68.1348111446306,5622400
2016-10-24,67.86514282226562,68.48540712646015,67.46061770376866,68.47192021250996,6077300
2016-10-25,67.93929290771484,68.54607537591973,67.77074250786627,67.92581113897695,4730700
2016-10-26,68.22245025634766,68.4516762934012,67.33250449742069,67.63589310969725,6353700
