Price,Close,High,Low,Open,Volume
Ticker,GMKN.ME,GMKN.ME,GMKN.ME,GMKN.ME,GMKN.ME
Date,,,,,
2015-11-20,9591.611328125,9686.03651736561,9510.107480569948,9644.290644227656,135060
2015-11-23,9434.5673828125,9539.92601561677,9382.882015776444,9514.083332098742,250504
2015-11-24,9287.4599609375,9466.370790664463,9164.210278236702,9441.522064313496,358995
2015-11-25,9369.958984375,9401.765358353998,9295.412795361728,9303.364388856477,142363
2015-11-26,9333.181640625,9531.971451926916,9323.242150059905,9396.794380241614,246435
2015-11-27,9164.212890625,9388.845440872425,9164.212890625,9323.244784605477,244912
2015-11-30,8866.02734375,9280.504182577775,8866.02734375,9175.145561676709,479024
2015-12-01,8999.216796875,9119.484659965554,8920.69480361753,8920.69480361753,318415
2015-12-02,8884.9130859375,9104.575888487247,8809.372936644373,9044.93892851899,315454
2015-12-03,9057.859375,9119.484227545814,8849.130035731921,8882.924309708658,345356
2015-12-04,8797.4443359375,9164.21158935078,8768.619809246484,9094.635145613844,364262
2015-12-07,8870.9970703125,8915.724786633404,8681.152763261554,8844.160440519958,252046
2015-12-08,8915.7236328125,8964.427139836782,8757.685722264318,8864.038278419384,240337
2015-12-09,8880.9365234375,9020.089418040885,8878.948624943165,8943.555326009024,189847
2015-12-10,8870.9970703125,8995.240726759454,8828.257252494748,8875.966816570379,204236
2015-12-11,8846.1513671875,8925.667334533005,8789.496240453827,8880.939602901159,179232
2015-12-14,8726.8740234375,8865.032962988504,8723.892175821291,8830.244740799402,209934
2015-12-15,8910.75390625,9000.209327506274,8746.752300613496,8746.752300613496,286441
2015-12-16,9052.890625,9119.485231046881,8908.76797012242,8944.550146505819,232048
2015-12-17,9392.8212890625,9392.8212890625,9045.93296843998,9084.69699280754,377720
2015-12-18,9173.1572265625,9431.584020246133,9169.181429736598,9346.104388489239,289906
2015-12-21,8993.251953125,9288.454852116836,8925.663410594883,9193.035733250788,260833
2015-12-22,9164.212890625,9168.188687974513,8987.289908571718,8996.235452608122,148817
2015-12-23,9353.0615234375,9385.861845464433,9154.27169297124,9154.27169297124,207861
2015-12-24,9287.4599609375,9392.8185606656,9179.119514047283,9358.030343774248,173325
2015-12-25,9287.4599609375,9318.2723816127,9235.774610127488,9303.36314580212,74062
2015-12-28,9296.740234375,9320.603524816177,9246.0307421875,9250.007957261028,132703
2015-12-29,9136.658203125,9146.60124176155,8999.444269940623,9003.421485395242,165960
2015-12-30,9097.880859375,9178.419476818648,9072.028957479508,9157.539094518443,100686
2016-01-04,8871.1787109375,9087.936944403582,8841.349596240334,9038.221753241636,117655
2016-01-05,9033.2490234375,9068.049652586682,8840.354107582038,8891.063595770845,137855
2016-01-06,8938.79296875,9095.893000903781,8938.79296875,9048.166408857063,139221
2016-01-11,8551.0126953125,8749.873455668605,8458.542441746911,8749.873455668605,351544
2016-01-12,8504.28125,8668.341393370747,8451.583143341517,8501.29833830235,229716
2016-01-13,8564.9345703125,8737.94346458164,8495.333291008823,8541.07127455124,285791
2016-01-14,8415.787109375,8683.25482350802,8352.151668094282,8526.154827846247,305353
2016-01-15,8004.1455078125,8424.736010893828,7994.202469914597,8421.753099524456,452033
2016-01-18,8242.7802734375,8337.239154737446,7795.343467279855,8005.141614167106,382879
2016-01-19,8491.35546875,8572.888390112705,8322.323802510246,8351.15861616291,364563
2016-01-20,8599.7353515625,8659.393591947948,8277.580853481075,8426.726454444697,399239
2016-01-21,9077.9931640625,9163.503285870756,8600.727367923399,8600.727367923399,579900
2016-01-22,9048.1640625,9247.024811126374,8900.01280477335,9197.30962396978,513792
2016-01-25,8998.44921875,9086.942255265883,8928.847954074585,9086.942255265883,288149
2016-01-26,8829.4169921875,9112.793551058383,8782.684717566688,8899.01825226105,315883
2016-01-27,8939.7861328125,8997.455757515327,8849.304480261511,8850.298784135697,189513
2016-01-28,8918.9052734375,8995.466667646495,8812.514764601623,8963.648945377823,241141
2016-01-29,8799.587890625,8932.824588629945,8680.271444650423,8908.961299435028,386637
2016-02-01,8648.455078125,8855.270283488302,8575.870895473457,8794.617747300026,200585
2016-02-02,8873.1669921875,8873.1669921875,8597.744843281635,8652.431551548143,288525
2016-02-03,8720.044921875,8899.019618105045,8720.044921875,8874.162021406428,124768
2016-02-04,8947.73828125,8962.652835558118,8744.900342659601,8799.587041789366,276137
2016-02-05,8953.7060546875,9027.284538646065,8862.230101657933,8893.053520613548,166548
2016-02-08,8819.474609375,8943.762583013318,8761.80498960682,8916.916380707442,155959
2016-02-09,8600.7275390625,8849.303479497832,8570.89842621026,8799.588291410766,232888
2016-02-10,8461.525390625,8633.539949094815,8461.525390625,8565.927290274309,220561
2016-02-11,8328.2900390625,8488.37297796998,8204.002043016319,8451.583731140312,322844
2016-02-12,8302.435546875,8411.808949288921,8281.555170050524,8377.008321248128,164454
2016-02-15,8297.466796875,8460.532651241387,8232.837037522468,8416.783275679672,249334
2016-02-16,8437.6630859375,8437.6630859375,8277.580154422541,8332.266870157466,221273
2016-02-17,8583.8251953125,8606.694184017722,8451.582782364909,8451.582782364909,236409
2016-02-18,8829.4169921875,8837.371421910191,8594.761315368101,8600.72713766012,305310
2016-02-19,8695.189453125,8784.67682314001,8610.67360366638,8750.87048335656,213865
2016-02-22,8700.1591796875,8749.874375,8630.55790625,8700.1591796875,89465
2016-02-24,8700.1591796875,8729.988296874999,8575.87119140625,8640.5009453125,202066
2016-02-25,8700.1591796875,8819.4756484375,8621.609171093749,8700.1591796875,174842
2016-02-26,8884.10546875,8957.683958362479,8720.045322992446,8749.87444040291,277267
2016-02-29,9089.92578125,9117.76628900268,8809.532096026582,8878.13906155997,288073
2016-03-01,9053.1357421875,9144.611688182145,8991.488909017195,9050.152830905066,182576
2016-03-02,9041.205078125,9113.789260540389,8990.495580821098,9107.823437328165,115691
2016-03-03,9137.654296875,9195.323932263329,9023.30933015676,9028.280850448857,237028
2016-03-04,9247.0263671875,9258.958014112903,9128.704201843917,9178.419397366431,312266
2016-03-07,9439.919921875,9439.919921875,9266.911067187171,9276.854104812908,217966
2016-03-09,9247.0263671875,9358.38840515793,9224.157377247144,9325.576376113071,206262
2016-03-10,9228.1337890625,9296.740752907486,9175.435686398961,9244.042650243946,167321
2016-03-11,9168.4755859375,9272.877487740281,9028.278746373766,9232.111030845861,248826
2016-03-14,9097.880859375,9209.242898309427,9062.085918288934,9173.447957223361,160747
2016-03-15,9149.583984375,9203.276392020756,9060.096638298739,9133.67512285033,293831
2016-03-16,9067.0576171875,9176.431050446698,8969.615831192941,9149.584844101259,249577
2016-03-17,9190.3505859375,9195.322105241805,9061.09108402558,9097.880326877435,294714
2016-03-18,9435.9443359375,9435.9443359375,9159.527842218782,9199.299999588382,366142
2016-03-21,9336.5126953125,9416.056999425919,9250.008264589158,9356.398771340855,234918
2016-03-22,9386.2265625,9401.141117419227,9266.910123146186,9331.539861129502,183055
2016-03-23,9187.369140625,9396.172984730114,9125.722291413014,9373.303992280506,196922
2016-03-24,8968.6201171875,9215.207455221036,8892.058725943216,9147.594798018292,297323
2016-03-25,8994.47265625,9024.301771846673,8949.728982854991,8993.478352396778,57492
2016-03-28,8943.763671875,9067.057356734644,8872.173790343593,9044.188366801001,131811
2016-03-29,8884.10546875,8978.564340549805,8736.948489525043,8956.689654448797,269849
2016-03-30,8899.0205078125,9028.280023568435,8854.276829281598,8911.946459388093,209004
2016-03-31,8650.443359375,8958.677548042386,8610.671205998564,8900.01362181214,475477
2016-04-01,8411.8115234375,8600.72927632794,8348.1760698323,8590.786236702128,463312
2016-04-04,8410.8154296875,8492.348337269292,8282.550245808829,8401.866695928524,402598
2016-04-05,8650.443359375,8669.335132228807,8402.861704606681,8426.724996632543,435472
2016-04-06,8748.8798828125,8792.629253745987,8668.341268139491,8690.215953606234,356608
2016-04-07,8638.51171875,8798.594636190004,8555.98450044242,8786.66299016963,282850
2016-04-08,8579.8486328125,8650.444212013994,8501.298622151684,8649.449908081579,219081
2016-04-11,8732.970703125,8737.942222368496,8533.115629536464,8566.921960392236,256254
2016-04-12,8680.2744140625,8789.647860287801,8602.718697648195,8739.93265745812,284795
2016-04-13,9069.0458984375,9130.692740417888,8701.153454360987,8733.965483157,664689
2016-04-14,9097.880859375,9187.368212090163,9055.125790855533,9068.051741803278,418710
2016-04-15,9068.05078125,9137.652048211348,8948.734323601973,9079.982427014802,207340
2016-04-18,9217.1982421875,9217.1982421875,8939.787421306128,8939.787421306128,296338
2016-04-19,9188.3623046875,9276.855351448368,9098.874954030442,9207.254078715101,266485
2016-04-20,9206.2587890625,9310.66068698361,9103.845498720839,9147.594865468733,336016
2016-04-21,9314.63671875,9324.57975538402,9157.536739932482,9255.972802609282,355278
2016-04-22,9694.4658203125,9694.4658203125,9282.82388701923,9314.641620993589,640560
2016-04-25,9576.138671875,9720.312704418026,9528.412095584896,9686.506379545868,253652
2016-04-26,9694.4658203125,9694.4658203125,9535.377150440705,9564.211971854967,201923
2016-04-27,9644.748046875,9784.944899927512,9550.289174250966,9694.463242992912,192929
2016-04-28,9653.6962890625,9653.6962890625,9357.393735334967,9594.038056768366,339031
2016-04-29,9355.4033203125,9644.745691043814,9272.876114914909,9644.745691043814,247396
2016-05-04,9048.1640625,9425.005181146978,8958.676725618132,9296.739998282967,302247
2016-05-05,8758.8212890625,9023.306073134543,8758.8212890625,9019.328858336467,315704
2016-05-06,8710.1025390625,8849.305091056649,8670.330381349886,8749.874696775114,248576
2016-05-10,8764.7880859375,8817.486187872235,8584.81909631133,8680.272262079907,206973
2016-05-11,8799.587890625,8939.784714645128,8769.758779131356,8769.758779131356,196444
2016-05-12,8860.2412109375,9018.335516014266,8814.503235883843,8836.377919605158,240392
2016-05-13,8934.81640625,8934.81640625,8760.813193352855,8849.306255911973,197440
2016-05-16,8879.134765625,9062.08670256509,8878.14046161989,8948.736045982643,150756
2016-05-17,8879.134765625,8942.770221951987,8777.715757103862,8903.992365752729,117256
2016-05-18,9043.1943359375,9112.795611750103,8829.41898879879,8861.236714884551,204083
2016-05-19,9137.654296875,9192.341020088072,9000.440336813112,9018.337809864663,263775
2016-05-20,9068.05078125,9251.002682976974,9032.255843955592,9167.481162623355,176686
2016-05-23,8979.5576171875,9080.976604780582,8928.848123390959,9068.050655381465,118614
2016-05-24,9033.2490234375,9092.907244836097,8930.83574336991,8968.61928358902,88587
2016-05-25,9027.2841796875,9141.629116427675,9013.36392651913,9065.067724001645,139208
2016-05-26,9099.869140625,9177.424843528053,9002.427360054497,9048.16533868963,164819
2016-05-27,9087.9375,9176.430545678337,9071.034333971555,9117.766616520788,93228
2016-05-30,9147.595703125,9147.595703125,9080.97734311311,9137.652664317255,37433
2016-05-31,8938.79296875,9231.118345036151,8938.79296875,9147.596808954393,209379
2016-06-01,8977.5693359375,9054.130731315414,8838.366798886747,8949.72882852735,148344
2016-06-02,8874.1630859375,9021.320076046044,8848.311182269783,8976.576396621149,85848
2016-06-03,8808.5380859375,9048.165321371627,8778.708969493418,8926.86024783236,148400
2016-06-06,8916.9169921875,9015.353074059329,8800.58344088443,8800.58344088443,130633
2016-06-07,8922.8828125,8996.461297916201,8869.19040422331,8929.842939498829,138837
2016-06-08,8822.45703125,8937.796264387045,8705.129190645075,8928.847530781584,173306
2016-06-09,8649.4501953125,8846.32238046848,8570.900182043195,8819.476173401756,203212
2016-06-10,8646.4658203125,8795.611389890108,8625.585440571635,8639.505693732212,117235
2016-06-14,8620.6142578125,8699.164260853699,8561.950331490592,8651.4376767274,165917
2016-06-15,8504.28125,8623.597717905997,8453.57175113995,8620.614806208347,227509
2016-06-16,8449.59375,8501.29754795246,8307.408305630737,8501.29754795246,230086
2016-06-17,8399.8779296875,8555.98361564405,8377.008943846731,8469.479190942013,317544
2016-06-20,8255.05078125,8384.346757341867,8230.186170463103,8257.039950112952,236568
