Price,Close,High,Low,Open,Volume
Ticker,VTBR.ME,VTBR.ME,VTBR.ME,VTBR.ME,VTBR.ME
Date,,,,,
2015-11-20,416091832320.0,421237526885.6952,412314622343.9085,416037057044.94745,10671840000
2015-11-23,417679310848.0,421237501077.3978,411329253978.115,417077149931.15094,8975110000
2015-11-24,398683996160.0,420252242986.2234,392552916779.3715,417515151063.74524,28413060000
2015-11-25,407825809408.0,409030131274.6934,396384792460.17126,400161961522.5687,10194990000
2015-11-26,416037011456.0,416037011456.0,406183499318.69226,406238274587.74255,11893000000
2015-11-27,398027063296.0,416584503188.54126,398027063296.0,415489690993.6844,13102700000
2015-11-30,388666228736.0,402625359061.8705,386805011359.2172,397424889147.73987,17901100000
2015-12-01,401147363328.0,401968503116.96625,389980057969.72705,391786541033.99426,12426180000
2015-12-02,395508940800.0,405034006514.6861,391348548517.37366,402351649405.77594,9326310000
2015-12-03,392498184192.0,397151228247.1218,390746435564.50745,393483527500.3025,6219610000
2015-12-04,395782619136.0,401421005309.3548,390855862848.591,393373975478.02106,15648630000
2015-12-07,396713263104.0,398027054021.52,393045562804.45624,394140374973.80273,9246970000
2015-12-08,396603719680.0,398629181160.7568,394633033470.9586,395508907603.5627,9832740000
2015-12-09,410836598784.0,416037068771.3277,396056369327.5958,397315425759.8608,25003200000
2015-12-10,414668554240.0,420690123319.416,409139636376.79553,410727140581.4983,17256640000
2015-12-11,414394843136.0,419869026535.24304,412807338923.08716,412807338923.08716,11613310000
2015-12-14,414668554240.0,415763366442.7294,410289223857.5589,411712483799.6833,19785320000
2015-12-15,417350877184.0,418171976072.22455,412205141974.73883,415489659884.9121,20950450000
2015-12-16,424248344576.0,426985436195.8515,415653887493.96423,417131922678.69055,13778740000
2015-12-17,431200501760.0,437386314660.272,425397911849.79144,425397911849.79144,21865770000
2015-12-18,411657732096.0,431419493268.77954,411657732096.0,430817332307.4381,16468940000
2015-12-21,417898233856.0,420306877437.3109,413409435168.78925,413409435168.78925,9035640000
2015-12-22,423810367488.0,428572879309.48846,416912884537.12244,417734024141.8294,7065610000
2015-12-23,430488911872.0,433773430122.60333,421894454398.4355,421894454398.4355,9236430000
2015-12-24,421566054400.0,432295443833.8405,419978549981.227,431529038481.39685,6010753716
2015-12-25,422058655744.0,426383251287.72644,416146556122.7454,423153467859.02423,7049830000
2015-12-28,416037011456.0,423919837480.1482,416037011456.0,421511193929.1165,5985120010
2015-12-29,428080267264.0,429558302513.9537,414011667107.1589,416146597849.1447,18485760000
2015-12-30,436291567616.0,437167441917.74677,423481982426.2624,428901431726.3279,76858480000
2016-01-04,422551322624.0,435251437287.7159,421620713938.05396,435251437287.7159,7231010000
2016-01-05,412314664960.0,428025545084.67725,410562957192.77277,420416471428.26044,12518090000
2016-01-06,411493498880.0,413299940847.6801,405088707513.929,413299940847.6801,10884300000
2016-01-11,395508940800.0,404541314528.19385,394140374607.3885,403993888051.1493,11191900000
2016-01-12,403008552960.0,407442617784.4644,386531309327.42035,392114961619.62054,20079840000
2016-01-13,395508940800.0,408646931534.5073,394687801084.4331,406457266412.0895,16353010000
2016-01-14,393374007296.0,399614554888.615,388666229356.46234,388666229356.46234,20367000000
2016-01-15,380454961152.0,394961518222.3395,377717869525.5147,390801166684.3992,35405950000
2016-01-18,379907538944.0,383027812829.00256,371094143777.60095,379743335468.87427,22298920000
2016-01-19,379907538944.0,389761052595.9075,373448012421.39935,385655435502.86646,28615911828
2016-01-20,369506615296.0,376513527060.7778,363156558174.3015,374433371798.04364,32411150000
2016-01-21,369451859968.0,373831231039.61676,361569073610.6116,369451859968.0,28838630000
2016-01-22,381002416128.0,385162767977.0753,362061792862.00696,373338567157.8467,43884860000
2016-01-25,374707060736.0,386476566842.4316,371148870208.8429,386202853604.0718,19654040000
2016-01-26,370382471168.0,373612254805.96063,366769546090.0035,370875163162.42554,11883740000
2016-01-27,375911383040.0,377060970485.08936,370218261876.64813,371203605064.2559,13366390000
2016-01-28,391950729216.0,392169707974.99347,372736393347.7098,376349359335.17035,31405350000
2016-01-29,403446464512.0,403446464512.0,390144189982.2192,393373973265.1835,27124140000
2016-02-01,402351652864.0,409741788010.339,396932204109.04706,401804226382.25024,15351700000
2016-02-02,387242917888.0,403446488166.7695,383903665438.4142,398683935084.091,15691470246
